Name,Surname,Date birth,Unit,Class,Sex,Race,Citizenship,Married,Children,Salary per day,Territory,Occupation,Pets,Food
Oliver,Smith,1985-01-12,Peasant,Worker,Male,Human,Stormwind,Yes,4,1.00,Stormwind,Gold,1,1.00
George,Jones,1990-03-24,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,0,1.00
Harry,Williams,1978-06-05,Peasant,Worker,Male,Human,Kul Tiras,Yes,2,1.00,Kul Tiras,Gold,2,1.00
Henry,Evans,1988-12-23,Peasant,Worker,Male,Human,Stormwind,Yes,3,1.00,Stormwind,Gold,1,1.00
William,Wilson,1992-02-07,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,1,1.00
James,Thomas,1980-04-15,Peasant,Worker,Male,Human,Kul Tiras,Yes,3,1.00,Kul Tiras,Gold,2,1.00
Edward,Johnson,1979-05-27,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,1,1.00
Noah,Roberts,1993-07-09,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Tree,3,1.00
Alexander,Lewis,1984-10-21,Peasant,Worker,Male,Human,Lordaeron,Yes,2,1.00,Lordaeron,Gold,3,1.00
Freddie,Walker,1987-12-03,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Gold,1,1.00
Jacob,Robinson,1991-03-14,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Tree,3,1.00
Ethan,Wood,1976-06-26,Peasant,Worker,Male,Human,Stormwind,Yes,2,1.00,Stormwind,Gold,2,1.00
Daniel,Thompson,1989-08-08,Peasant,Worker,Male,Human,Kul Tiras,No,0,1.00,Kul Tiras,Gold,1,1.00
Samuel,White,1981-09-20,Peasant,Worker,Male,Human,Stormwind,No,0,1.00,Stormwind,Tree,3,1.00
Charlie,Watson,1994-11-01,Peasant,Worker,Male,Human,Lordaeron,Yes,4,1.00,Lordaeron,Gold,1,1.00
Leo,Jackson,1983-01-13,Peasant,Worker,Male,Human,Lordaeron,No,0,1.00,Lordaeron,Gold,3,1.00
Oscar,Wright,1977-02-25,Peasant,Worker,Male,Human,Kul Tiras,Yes,3,1.00,Kul Tiras,Gold,2,1.00
Alfie,Harris,1986-04-06,Peasant,Worker,Male,Human,Stormwind,Yes,4,1.00,Stormwind,Gold,1,1.00
